INFO 2024-10-17 14:29:23,201 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-17 14:29:23,202 autoreload Waiting for apps ready_event.
DEBUG 2024-10-17 14:29:23,713 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-17 14:29:23,720 autoreload Watching dir /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-17 14:29:23,720 autoreload Watching dir /Users/reddddddddd/Documents/code/projects/spotter/spotter/fuelroute/templates with glob **/*.
DEBUG 2024-10-17 14:29:23,720 autoreload Watching dir /Users/reddddddddd/Documents/code/projects/spotter/spotter/locale with glob **/*.mo.
DEBUG 2024-10-17 14:29:23,720 autoreload Watching dir /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-17 14:29:23,739 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1728046927.469614
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/email/header.py first seen with mtime 1695035380.9787118
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/core/serializers/python.py first seen with mtime 1728046927.4478736
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/concurrent/futures/thread.py first seen with mtime 1695035380.7812564
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_libs/arrays.cpython-38-darwin.so first seen with mtime 1729027988.5739622
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/utils/encoding.py first seen with mtime 1728046927.4995248
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/admin/__init__.py first seen with mtime 1728046926.6909575
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/messages/apps.py first seen with mtime 1728046927.2294295
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/core/__init__.py first seen with mtime 1729027986.86955
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/codecs.py first seen with mtime 1695035378.8924286
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pytz/exceptions.py first seen with mtime 1728046926.3577144
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1728046927.4703386
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/forms/utils.py first seen with mtime 1728046927.4756122
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/views/generic/base.py first seen with mtime 1728046927.512338
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/core/function_base.py first seen with mtime 1729027986.8822284
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/views/generic/dates.py first seen with mtime 1728046927.5125146
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/sqlparse/engine/__init__.py first seen with mtime 1728046926.55434
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/lib-dynload/math.cpython-38-darwin.so first seen with mtime 1695035330.0
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/calendar.py first seen with mtime 1695035378.884657
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/lib/npyio.py first seen with mtime 1729027987.0300827
DEBUG 2024-10-17 14:29:23,795 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/charset_normalizer/api.py first seen with mtime 1729027879.5032778
